SONDA;VALOR;TIMESTAMP
SondaTemp;11/08/2017-07:04:22;28.329
SondaORP;11/08/2017-07:04:23;1018.2
SondaPH;11/08/2017-07:04:24;0.000
SondaTemp;11/08/2017-07:14:22;28.147
SondaORP;11/08/2017-07:14:23;1018.7
SondaPH;11/08/2017-07:14:24;0.000
SondaTemp;11/08/2017-07:24:22;28.132
SondaORP;11/08/2017-07:24:23;1018.3
SondaPH;11/08/2017-07:24:24;0.000
SondaTemp;11/08/2017-07:34:22;28.120
SondaORP;11/08/2017-07:34:23;1019.2
SondaPH;11/08/2017-07:34:24;0.000
SondaTemp;11/08/2017-07:44:22;28.100
SondaORP;11/08/2017-07:44:23;1018.7
SondaPH;11/08/2017-07:44:24;0.000
SondaTemp;11/08/2017-07:54:22;28.073
SondaORP;11/08/2017-07:54:23;1019.0
SondaPH;11/08/2017-07:54:24;0.000
SondaTemp;11/08/2017-08:04:22;27.876
SondaORP;11/08/2017-08:04:23;1018.5
SondaPH;11/08/2017-08:04:24;0.000
SondaTemp;11/08/2017-08:14:22;27.869
SondaORP;11/08/2017-08:14:23;1019.0
SondaPH;11/08/2017-08:14:24;0.000
SondaTemp;11/08/2017-08:24:22;27.861
SondaORP;11/08/2017-08:24:23;1018.3
SondaPH;11/08/2017-08:24:24;0.000
SondaTemp;11/08/2017-08:34:22;27.847
SondaORP;11/08/2017-08:34:23;1018.9
SondaPH;11/08/2017-08:34:24;0.000
SondaTemp;11/08/2017-08:44:22;27.710
SondaORP;11/08/2017-08:44:23;1019.0
SondaPH;11/08/2017-08:44:24;0.000
SondaTemp;11/08/2017-08:54:22;27.702
SondaORP;11/08/2017-08:54:23;1018.7
SondaPH;11/08/2017-08:54:24;0.000
SondaTemp;11/08/2017-09:04:22;27.711
SondaTemp;11/08/2017-21:30:51;27.184
SondaORP;11/08/2017-21:30:52;1018.3
SondaPH;11/08/2017-21:30:53;0.000
SondaTemp;11/08/2017-21:40:51;26.890
SondaORP;11/08/2017-21:40:52;1018.7
SondaPH;11/08/2017-21:40:53;0.000
SondaTemp;11/08/2017-21:50:51;26.736
SondaORP;11/08/2017-21:50:52;1018.2
SondaPH;11/08/2017-21:50:53;0.000
SondaTemp;11/08/2017-22:00:51;26.910
SondaORP;11/08/2017-22:00:52;1018.6
SondaPH;11/08/2017-22:00:53;0.000
SondaTemp;11/08/2017-22:10:51;26.907
SondaORP;11/08/2017-22:10:52;1018.4
SondaPH;11/08/2017-22:10:53;0.000
SondaTemp;11/08/2017-22:20:51;26.638
SondaORP;11/08/2017-22:20:52;1018.9
SondaPH;11/08/2017-22:20:53;0.000
SondaTemp;11/08/2017-22:30:51;26.618
SondaORP;11/08/2017-22:30:52;1019.2
SondaPH;11/08/2017-22:30:53;0.000
SondaTemp;11/08/2017-22:40:51;26.315
SondaORP;11/08/2017-22:40:52;1019.2
SondaPH;11/08/2017-22:40:53;0.000
SondaTemp;11/08/2017-22:50:51;26.122
SondaORP;11/08/2017-22:50:52;1018.9
SondaPH;11/08/2017-22:50:53;0.000
SondaTemp;11/08/2017-23:00:51;26.257
SondaORP;11/08/2017-23:00:52;1019.0
SondaPH;11/08/2017-23:00:53;0.000
SondaTemp;11/08/2017-23:10:51;26.236
SondaORP;11/08/2017-23:10:52;1018.4
SondaPH;11/08/2017-23:10:53;0.000
SondaTemp;11/08/2017-23:20:51;26.041
SondaORP;11/08/2017-23:20:52;1019.4
SondaPH;11/08/2017-23:20:53;0.000
SondaTemp;11/08/2017-23:30:51;26.043
