SONDA;VALOR;TIMESTAMP
SondaTemp;12/08/2017-07:00:51;26.602
SondaORP;12/08/2017-07:00:52;1018.7
SondaPH;12/08/2017-07:00:53;0.000
SondaTemp;12/08/2017-07:10:51;26.602
SondaORP;12/08/2017-07:10:52;1019.3
SondaPH;12/08/2017-07:10:53;0.000
SondaTemp;12/08/2017-07:20:51;26.595
SondaORP;12/08/2017-07:20:52;1019.0
SondaPH;12/08/2017-07:20:53;0.000
SondaTemp;12/08/2017-07:30:51;26.589
SondaORP;12/08/2017-07:30:52;1019.0
SondaPH;12/08/2017-07:30:53;0.000
SondaTemp;12/08/2017-07:40:51;26.566
SondaORP;12/08/2017-07:40:52;1010.4
SondaPH;12/08/2017-07:40:53;0.000
SondaTemp;12/08/2017-07:50:51;26.547
SondaORP;12/08/2017-07:50:52;1003.8
SondaPH;12/08/2017-07:50:53;0.000
SondaTemp;12/08/2017-08:00:51;26.538
SondaORP;12/08/2017-08:00:52;1006.7
SondaPH;12/08/2017-08:00:53;0.000
SondaTemp;12/08/2017-08:10:51;26.542
SondaORP;12/08/2017-08:10:52;1019.8
SondaPH;12/08/2017-08:10:53;0.000
SondaTemp;12/08/2017-08:20:51;26.557
SondaORP;12/08/2017-08:20:52;1019.3
SondaPH;12/08/2017-08:20:53;0.000
SondaTemp;12/08/2017-08:30:51;26.578
SondaORP;12/08/2017-08:30:52;1018.8
SondaPH;12/08/2017-08:30:53;0.000
SondaTemp;12/08/2017-08:40:51;26.602
SondaORP;12/08/2017-08:40:52;1019.1
SondaPH;12/08/2017-08:40:53;0.000
SondaTemp;12/08/2017-08:50:51;26.619
SondaORP;12/08/2017-08:50:52;1018.5
SondaPH;12/08/2017-08:50:53;0.000
SondaTemp;12/08/2017-09:00:51;26.633
SondaORP;12/08/2017-09:00:52;1019.2
SondaPH;12/08/2017-09:00:53;0.000
SondaTemp;12/08/2017-09:10:51;26.790
SondaORP;12/08/2017-09:10:52;1018.2
SondaPH;12/08/2017-09:10:53;0.000
SondaTemp;12/08/2017-09:20:51;26.797
SondaORP;12/08/2017-09:20:52;1018.8
SondaPH;12/08/2017-09:20:53;0.000
SondaTemp;12/08/2017-09:30:51;26.820
SondaORP;12/08/2017-09:30:52;1018.9
SondaPH;12/08/2017-09:30:53;0.000
SondaTemp;12/08/2017-09:40:51;26.839
SondaORP;12/08/2017-09:40:52;1018.8
SondaPH;12/08/2017-09:40:53;0.000
SondaTemp;12/08/2017-09:50:51;27.029
SondaORP;12/08/2017-09:50:52;1018.6
SondaPH;12/08/2017-09:50:53;0.000
SondaTemp;12/08/2017-10:00:51;27.044
SondaORP;12/08/2017-10:00:52;1018.7
SondaPH;12/08/2017-10:00:53;0.000
SondaTemp;12/08/2017-10:10:51;27.045
SondaORP;12/08/2017-10:10:52;1018.5
SondaPH;12/08/2017-10:10:53;0.000
SondaTemp;12/08/2017-10:20:51;27.182
SondaORP;12/08/2017-10:20:52;1018.5
SondaPH;12/08/2017-10:20:53;0.000
SondaTemp;12/08/2017-10:30:51;27.400
SondaORP;12/08/2017-10:30:52;1019.3
SondaPH;12/08/2017-10:30:53;0.000
SondaTemp;12/08/2017-10:40:51;27.407
SondaORP;12/08/2017-10:40:52;1019.4
SondaPH;12/08/2017-10:40:53;0.000
SondaTemp;12/08/2017-10:50:51;27.416
SondaORP;12/08/2017-10:50:52;1018.5
SondaPH;12/08/2017-10:50:53;0.000
SondaTemp;12/08/2017-11:00:51;27.425
SondaORP;12/08/2017-11:00:52;1019.1
SondaPH;12/08/2017-11:00:53;0.000
SondaTemp;12/08/2017-11:10:51;27.435
